rank,rankBeforeHistory,id,vehicle,region,vin,seller,status,historyChecked,recalls,recallDetails,nicb,historyFinding,floodHistory,serviceHistory,publicHistorySources,maxBid,roundedTotal
1,1,54713756,2021 Kia Forte LXS,MO,3KPF24AD2ME414651,원본에 미표시,우선 점검,2026-09-14,0,[],"{""theft"": ""일치 기록 없음"", ""totalLoss"": ""우박 전손"", ""lossDate"": ""2026-04-28"", ""cause"": ""Hail""}",NICB: 2026-04-28 우박 전손. 현재 Clean 서류와 보험 전손 이력은 별개입니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/kia/forte/2021/9bcab51b8770445a-kia-forte-lxs-3kpf24ad2me414651/"", ""https://usacars.bg/pl/car/kia-forte-2021-3kpf24ad2me414651"", ""https://usacars.bg/ru/car/kia-forte-2021-3kpf24ad2me414651""]",5500,10000
61,68,65487846,2023 Chevrolet Malibu LT,MO,1G1ZD5ST4PF174704,원본에 미표시,진단·판매 상태 보류,2026-09-14,1,"[[""26V212"", ""N262551720"", ""후방 카메라 화면 공백·왜곡. 점검·필요 시 교체."", ""수리 가능""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://checkcar.vin/fr/report/check/1G1ZD5ST4PF174704"", ""https://bid.cars/en/lot/1-65487846/2023-Chevrolet-Malibu-1G1ZD5ST4PF174704"", ""https://www.salvagereseller.com/cars-for-sale/65487846-2023-chevrolet-malibu-lt-rogersville-mo""]",4900,10000
62,69,65709846,2024 Mazda3 Select Sport,KS,3MZBPABM6RM414790,USAA,진단·판매 상태 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}","Cars.com 이전 판매 목록: 같은 VIN, 45,907mi, Clint Bowyer Autoplex(또는 해당 판매 목록), $19,363 표시. 과거 판매 광고이며 현재 무사고나 정비 이력을 증명하지 않습니다.",침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.cars.com/shopping/mazda-mazda3-2024/sedan/plymouth-mn/"", ""https://www.cars.com/shopping/mazda-mazda3-2024/sedan/plymouth-mn/"", ""https://www.cars.com/shopping/montebello-ca/price-under-20000/?page=493"", ""https://www.cars.com/shopping/mazda/sedan/augusta-ks/""]",4200,9600
63,70,65120686,2020 Ford Escape SE Sport Hybrid,KS,1FMCU0BZ2LUB78790,미공개,진단·판매 상태 보류,2026-09-14,1,"[[""26V123"", ""26C11"", ""SYNC 화면·후방 카메라 영상 반전. 소프트웨어 업데이트."", ""수리 가능""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/pl/car/ford-escape-2020-1fmcu0bz2lub78790"", ""https://usacars.bg/ru/car/ford-escape-2020-1fmcu0bz2lub78790"", ""https://www.salvagereseller.com/cars-for-sale/65120686-2020-ford-escape-se-sport-kansas-city-ks/0""]",3300,9200
64,71,67291736,2020 Chevrolet Traverse LS,MO,1GNERFKW2LJ137172,원본에 미표시,진단·판매 상태 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/pl/car/chevrolet-traverse-2020-1gnerfkw2lj137172"", ""https://usacars.bg/car/chevrolet-traverse-2020-1gnerfkw2lj137172"", ""https://usacars.bg/ru/car/chevrolet-traverse-2020-1gnerfkw2lj137172""]",3700,10000
65,73,67201176,2019 Hyundai Kona SEL,KS,KM8K6CAA2KU237645,USAA,진단·판매 상태 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/hyundai/kona/2019/aa7b1119575be326-hyundai-kona-sel-km8k6caa2ku237645/"", ""https://usacars.bg/car/hyundai-kona-2019-km8k6caa2ku237645"", ""https://checkcar.vin/es-mx/report/check/KM8K6CAA2KU237645""]",3000,8900
66,74,64769036,2017 Hyundai Tucson Sport,MO,KM8J33A23HU380156,원본에 미표시,진단·판매 상태 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",우박 이외 Mechanical 손상이 함께 공개되어 있습니다. 시동 확인은 주행·변속기 정상 보증이 아닙니다. 정비 진단 및 서류 확인 전 보류.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/pl/car/hyundai-tucson-2017-km8j33a23hu380156"", ""https://usacars.bg/ru/car/hyundai-tucson-2017-km8j33a23hu380156"", ""https://opendatacar.com/auction/hyundai/tucson/2017/2017-hyundai-tucson-km8j33a23hu380156""]",3300,10000
67,75,67879236,2017 Kia Sportage EX,MO,KNDPNCAC6H7184955,원본에 미표시,진단·판매 상태 보류,2026-09-14,1,"[[""22V703"", ""SC249F"", ""견인 히치 배선 모듈 단락·화재 위험. 수리 전 건물에서 떨어진 실외에 주차. 퓨즈/모듈 점검·교체."", ""수리 가능""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",공개 보관 자료는 2026-09-12 Buy Now 판매를 표시합니다. 현재 판매 가능 여부는 공식 매물에서 재확인해야 합니다. 화재 리콜 수리 전 실외 주차 안내 적용.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://cararam.com/pl/kia/sportage/2017/copart-67879236-KNDPNCAC6H7184955"", ""https://cararam.com/pl/kia/sportage/2017/copart-67879236-KNDPNCAC6H7184955"", ""https://en.bidhistory.org/kia/sportage/2017/5662c8f14a497938-kia-sportage-ex-kndpncac6h7184955/"", ""https://cararam.com/de/kia/sportage/2017/copart-67879236-KNDPNCAC6H7184955""]",2400,10000
68,76,67849116,2017 Honda HR-V LX,MO,3CZRU6H36HM710813,원본에 미표시,진단·판매 상태 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/honda/hr_v/2017/4e2cf6026384355e-honda-hr_v-lx-3czru6h36hm710813/"", ""https://usacars.bg/car/honda-hr-v-2017-3czru6h36hm710813"", ""https://usacars.bg/en/car/honda-hr-v-2017-3czru6h36hm710813""]",2400,10000
69,77,64587966,2020 Chevrolet Malibu LS,MO,1G1ZB5ST4LF010689,원본에 미표시,진단·판매 상태 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://checkcar.vin/fr/report/check/1G1ZB5ST4LF010689"", ""https://opendatacar.com/en/auction/chevrolet/malibu/2020/2020-chevrolet-malibu-1g1zb5st4lf010689"", ""https://opendatacar.com/en/auction/chevrolet/malibu/2020""]",2900,9900
70,78,62869076,2020 Ford Fusion SE,MO,3FA6P0HD9LR187570,원본에 미표시,진단·판매 상태 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://checkcar.vin/es/report/check/3FA6P0HD9LR187570"", ""https://usacars.bg/en/car/ford-fusion-2020-3fa6p0hd9lr187570"", ""https://checkcar.vin/uk/report/check/3FA6P0HD9LR187570""]",2800,10000
71,79,64200676,2018 Ford Escape SEL,MO,1FMCU9HD9JUB55830,원본에 미표시,진단·판매 상태 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/ford/escape/2018/05842684c7d439d3-ford-escape-sel-1fmcu9hd9jub55830/"", ""https://bidinfo.app/ford/escape/copart-64200676-ford-escape-2018-silver-sport-utility-vehicle-vin-1fmcu9hd9jub55830.html"", ""https://stat.vin/es/cars/1fmcu9hd9jub55830-ford-escape-2018-silver-15l-4""]",2800,10000
72,2,59114686,2022 Toyota Corolla LE,KS,JTDEPMAEXNJ210125,미공개,이력·안전 확인 전 보류,2026-09-14,0,[],"{""theft"": ""일치 기록 없음"", ""totalLoss"": ""충돌 전손"", ""lossDate"": ""2022-08-08"", ""cause"": ""Collision"", ""note"": ""동일 날짜·원인 행이 2번 표시됨. 별도 사고 2건으로 계산하지 않음.""}",NICB: 2022-08-08 충돌 전손. 현재 우박 손상 이외의 과거 충돌 이력이 확인됐습니다. 동일 날짜·원인 중복 행은 사고 2건으로 세지 않았습니다. 과거 수리·골격·에어백 검증 전 입찰 보류.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/corolla/2022/a3ff81b83532bd43-toyota-corolla-le-jtdepmaexnj210125/"", ""https://usacars.bg/en/car/toyota-corolla-2022-jtdepmaexnj210125"", ""https://usacars.bg/pl/car/toyota-corolla-2022-jtdepmaexnj210125""]",5200,9700
73,27,62966806,2022 Ford Bronco Sport,MO,3FMCR9A69NRD96460,원본에 미표시,이력·안전 확인 전 보류,2026-09-14,1,"[[""25V467"", ""25S76"", ""연료 인젝터 균열·누유로 엔진룸 화재 위험."", ""수리 부품 미제공""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",VIN은 Bronco Sport에 해당합니다. 연료 인젝터 균열·화재 리콜이 미수리이고 부품 미제공으로 표시되어 입찰 보류.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/ford/bronco/2022/387af0697b6cb50f-ford-bronco-u-3fmcr9a69nrd96460/"", ""https://plc.ua/auctions/lot/ford-bronco-2022-vin-3fmcr9a69nrd96460-1-62966806/"", ""https://en.bidhistory.org/ford/bronco/""]",4800,10000
74,40,67126866,2020 Jeep Grand Cherokee Laredo,MO,1C4RJEAG3LC379690,원본에 미표시,이력·안전 확인 전 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}","현재 Copart: LA Cert Of Title-hail Damaged, Hail + Rear End, 125,248mi Actual. 일반 Clean으로 단순 분류하지 않으며 발급 서류와 개인 입찰 자격 확인 전 보류.",침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://stat.vin/ge/cars/1c4rjeag3lc379690-jeep-cherokee-2020-grand-silver-v6"", ""https://plc.ua/auctions/lot/jeep-grand-cherokee-2020-vin-1c4rjeag3lc379690-1-67126866/"", ""https://salvagealert.com/lots/2020-jeep-grand-cherokee-rogersville-mo-1c4rjeag3lc379690-copart-us-67126866""]",3700,10000
75,49,60687656,2025 Nissan Sentra SV,MO,3N1AB8CV1SY374844,DOLLAR RENT A CAR CAR SALES,이력·안전 확인 전 보류,2026-09-14,1,"[[""25V807"", ""PMA58"", ""전면 유리 적층 기포로 시야 저하 위험. 유리 점검·필요 시 교체."", ""수리 가능""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}","Copart 공식 공지: Airbags deployed, Fleet vehicle, One owner. 판매자 DOLLAR RENT A CAR CAR SALES. 에어백·벨트·SRS 복구 견적과 Wholesale Auction 직접 입찰 자격을 확인하기 전 보류.",침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/nissan/sentra/2025/930be55cc13254ec-nissan-sentra-sv-3n1ab8cv1sy374844/"", ""https://www.salvagereseller.com/cars-for-sale/60687656-2025-nissan-sentra-sv-bridgeton-mo"", ""https://checkcar.vin/pl/report/check/3N1AB8CV1SY374844""]",2800,10000
76,51,85972145,2021 Hyundai Elantra SEL,MO,5NPLN4AGXMH028642,원본에 미표시,이력·안전 확인 전 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}","과거 검색 색인에 79,956mi NOT ACTUAL, 현재 Copart에는 동일 거리 Actual로 표시됩니다. 표기 불일치이며 조작 확정은 아닙니다. 타이틀 주행거리 기재 및 이력 보고서 대조 전 보류.",침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,[],3800,9900
77,57,58358206,2021 Ford Escape SEL,MO,1FMCU0H61MUA56615,원본에 미표시,이력·안전 확인 전 보류,2026-09-14,3,"[[""25V467"", ""25S76"", ""연료 인젝터 균열·누유로 엔진룸 화재 위험."", ""수리 부품 미제공""], [""26V123"", ""26C11"", ""SYNC·후방 카메라 화면 반전. 소프트웨어 업데이트."", ""수리 가능""], [""26V117"", ""26S14"", ""와이퍼 모터 작동 불량으로 시야 상실 위험."", ""수리 부품 미제공""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",같은 LOT의 2026-07-14 경매 기록이 공개되어 있으나 판매 가격·성사 여부는 자료가 서로 다릅니다. 연료 누출·화재 리콜 수리 부품 미제공으로 입찰 보류.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://dreambid.pl/uk/lots/copart-58358206/2021-Ford-Escape-1FMCU0H61MUA56615"", ""https://checkcar.vin/es-mx/report/check/1FMCU0H61MUA56615"", ""https://auctionhistory.io/item/1FMCU0H61MUA56615"", ""https://checkcar.vin/es/report/check/1FMCU0H61MUA56615""]",2900,8800
78,67,66851026,2026 Kia K4 LXS,MO,3KPFT4DE9TE287199,Hertz (원본 기재 · 재확인 전),판매 완료 · 현재 후보 제외,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",2026-09-14 Copart 현재 상태 Sold 확인. 현재 구매 후보에서 제외하고 비교 기록으로 남깁니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://plc.ua/auctions/lot/kia-unknown-2026-vin-3kpft4de9te287199-1-66851026/"", ""https://westmotors.kz/catalog-avto/kia/all-other/3KPFT4DE9TE287199"", ""https://plc.ua/auctions/lot/kia-k4-2026-vin-3kpft4de9te287199-1-66851026/""]",2600,10000
79,72,67122796,2019 Chevrolet Traverse,MO,1GNEVGKW0KJ306024,원본에 미표시,이력·안전 확인 전 보류,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}","BidCars IAAI 보관 기록: 2025-02-11, LOT 41139658, Progressive Casualty Insurance, 69,543mi, Collision·Front & rear·Left front, NY MV-907A. 현재 125,556mi·경미 손상 표시와 별개인 과거 충돌 경매 기록입니다. 타이틀 연혁·수리 명세·골격 검증 전 보류.",침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://bid.cars/en/lot/0-41139658/2019-Chevrolet-Traverse-1GNEVGKW0KJ306024"", ""https://bid.cars/en/lot/0-41139658/2019-Chevrolet-Traverse-1GNEVGKW0KJ306024"", ""https://usacars.bg/pl/car/chevrolet-traverse-2019-1gnevgkw0kj306024"", ""https://usacars.bg/ru/car/chevrolet-traverse-2019-1gnevgkw0kj306024""]",3700,10000
80,80,61161096,2022 Nissan Altima S,MO,1N4BL4BV0NN409678,원본에 미표시,구매 비추천,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,[],1200,10000
